PASS partial-control: rc=0, claims_success=True
PASS empty-directory: rc=1, claims_success=False
PASS missing-square: rc=1, claims_success=False
PASS missing-triangle: rc=1, claims_success=False
PASS missing-published-record: rc=1, claims_success=False
PASS duplicate-record: rc=1, claims_success=False
PASS empty-records: rc=1, claims_success=False
PASS wrong-scenario: rc=1, claims_success=False
PASS wrong-cycle: rc=1, claims_success=False
PASS wrong-cap: rc=1, claims_success=False
PASS unknown-hierarchy: rc=1, claims_success=False
PASS out-of-range-order: rc=1, claims_success=False
PASS missing-requested-partial-record: rc=1, claims_success=False
PASS partial-allows-unrequested-omission: rc=0, claims_success=True
PASS invalid-zero-limit: rc=2, claims_success=False
PASS invalid-excess-limit: rc=2, claims_success=False
PASS corrupted-primal: rc=1, claims_success=False
PASS refuse--O: rc=2, claims_success=False
PASS refuse--OO: rc=2, claims_success=False
MUTATION_TESTS_EXPONENT=PASS (19 cases; partial success is labeled)
